Enabled,Code,Description,Updated By,Last Updated
Yes,callNumber,Call Number,,
Yes,subject,E-Book Activated,960024377,02/09/2023
Yes,letterName,E-Book Activated,960024377,02/09/2023
Yes,mmsId,MMS ID,,
Yes,message,Message,,
Yes,Bcc,None,,
Yes,Cc,None,,
Yes,orderNumber,Order Number,960024377,02/08/2023
Yes,receivingNote,Receiving Note,,
Yes,sincerely,Sincerely,,
Yes,You_were_specify,This is to notify you that the following e-book is now available:,960024377,02/09/2023
Yes,title,Title,960024377,02/08/2023
Yes,department,Your Department,,
Yes,addressFrom,orderdiv@princeton.edu,960024377,02/08/2023
